cluster_id,cluster_size,canonical_name,member_ids,member_names
1,74,"Grogan, Sarah","575932, 41687, 575942, 575958, 575971, 575972, 579747, 581268, 582998, 596693, 596713, 596715, 605825, 605859, 610649, 610665, 617342, 618422, 618604, 618671, 618950, 618951, 618959, 618965, 618989, 619063, 619341, 619362, 619741, 620036, 620287, 620304, 620368, 620651, 621112, 621760, 621761, 621842, 621850, 621975, 621997, 622354, 622523, 622610, 622614, 623015, 623032, 623168, 623558, 623588, 623668, 623834, 624135, 624356, 625081, 625194, 625220, 625676, 626564, 626958, 626961, 627023, 627024, 627962, 628046, 628854, 629175, 629873, 630385, 631799, 634321, 634532, 634676, 634697",", grogan, sarah, grogan, sarah, grogan, s, grogan, s, grogan, s, grogan, j, grogan, s, grogan, sarah, grogan, s, grogan, s, grogan, s, grogan, s, grogan, s, grogan, s, grogan, s, grogan, s, grogan, sarah, grogan, s, grogan, s, grogan, s, grogan, sarah, grogan, s, grogan, l, grogan, s, grogan, s, grogan, sarah, grogan, s, grogan, sarah, grogan, s, grogan, s, grogan, s, grogan, s, grogan, s, grogan, s, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, j, grogan, j, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, s, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah, grogan, sarah"
2,30,"Clough, Pj","606080, 550, 781, 602213, 602228, 602230, 602233, 606070, 606071, 606073, 606077, 606081, 606084, 606094, 606095, 606096, 615373, 617066, 617400, 617747, 617748, 618532, 618685, 618686, 618760, 620224, 620434, 625918, 631753, 632731",", clough, pj, clough, p, clough, pj, clough, pj, clough, p, clough, p, clough, pj, clough, p, clough, pj, clough, pj, clough, pj, clough, pj, clough, pj, clough, pj, clough, pj, clough, pj, clough, pj, clough, j, clough, p, clough, pj, clough, p, clough, p, clough, p, clough, j, clough, p, clough, p, clough, p, clough, pj, clough, p"
3,110,"Millington, Steven","620392, 68, 414, 524, 96206, 96208, 96211, 96219, 96543, 98619, 190315, 190769, 601036, 608469, 611686, 614085, 615472, 615976, 617216, 617732, 618370, 618522, 618903, 618922, 618948, 618949, 620015, 620111, 620154, 620428, 620577, 621909, 621919, 622316, 622323, 622326, 622328, 622553, 622555, 622733, 622735, 622826, 624603, 625398, 625573, 626233, 626234, 626235, 626237, 626238, 626241, 627031, 627245, 627278, 627898, 628457, 629510, 629514, 630037, 630040, 630154, 630410, 630496, 630890, 631109, 631110, 631111, 631112, 631113, 631114, 631115, 631118, 631119, 631120, 631121, 631122, 631123, 631124, 631125, 631126, 631128, 631129, 631261, 631262, 632157, 632431, 633742, 633744, 634550, 635679, 636427, 639511, 639513, 639516, 639531, 639532, 639534, 639535, 639633, 640774, 640823, 640824, 640825, 640826, 640827, 640828, 641068, 642124, 642806, 642808",", millington, sd, millington, sd, millington, sd, millington, steve, millington, steve, millington, steve, millington, steve, millington, steve, millington, steve, millington, steve, millington, steve, millington, sd, millington, sd, millington, s, millington, sd, millington, sd, millington, sd, millington, s, millington, s, millington, sd, millington, steve, millington, s, millington, s, millington, sd, millington, sd, millington, sd, millington, sd, millington, sd, millington, sd, millington, sd, millington, steve, millington, steve, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steve, millington, steven, millington, steven, millington, steve, millington, steven, millington, steve, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steve, millington, steve, millington, steve, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steve, millington, steve, millington, steve, millington, steven, millington, steve, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steve, millington, steve, millington, steven, millington, steve, millington, steven, millington, steve, millington, steve, millington, steve, millington, steven, millington, steven, millington, steve, millington, steve, millington, steve, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steve, millington, steve, millington, steven, millington, steven, millington, steven, millington, steven, millington, steven, millington, steve, millington, steven"
4,211,"Turner, Martin","624839, 79128, 79136, 80614, 84226, 87359, 92867, 129455, 579747, 583513, 605450, 605465, 605503, 611244, 617205, 617383, 618252, 618725, 619050, 620543, 620544, 620547, 620620, 621050, 621107, 621464, 622097, 622762, 623102, 623654, 624334, 624580, 624581, 624582, 624583, 624584, 624585, 624586, 624587, 624588, 624589, 624590, 624591, 624592, 624593, 624594, 624595, 624596, 624597, 624598, 624599, 624600, 624601, 624602, 624840, 624846, 624865, 625023, 625184, 625192, 625308, 625477, 625478, 625479, 625690, 625691, 625698, 625838, 626008, 626060, 626061, 626128, 626129, 626445, 626446, 626592, 626596, 627046, 627100, 627161, 627270, 627271, 627590, 627845, 628069, 628229, 628650, 628670, 629018, 629037, 629060, 629140, 629184, 629364, 629379, 629704, 629705, 629706, 629707, 629793, 629827, 629828, 630048, 630171, 630210, 630268, 630269, 630321, 630404, 630498, 630553, 630599, 630603, 630605, 630625, 630711, 630795, 631207, 631221, 631222, 631223, 631224, 631225, 631231, 631438, 631722, 631723, 631724, 631725, 631726, 631727, 631771, 631791, 631810, 631812, 631813, 631814, 631816, 631817, 631818, 631878, 631899, 632280, 632294, 632302, 632386, 632399, 632455, 632511, 632605, 632764, 632782, 632834, 632900, 633050, 633063, 633167, 633201, 633341, 633407, 633477, 633489, 633610, 633611, 633789, 633844, 633906, 633938, 634064, 634205, 634439, 634735, 634983, 634984, 635120, 635163, 635325, 635339, 635395, 635490, 635801, 635802, 636283, 636289, 637207, 637424, 637425, 637426, 637427, 637586, 637958, 638439, 638487, 638547, 638589, 639259, 639785, 639786, 639834, 639903, 640284, 640710, 640787, 641121, 641396, 641680, 642304, 642604, 642685, 643041, 643432",", turner, jane c, turner, jane c, turner, jane c, turner, jane c, turner, jane c, turner, l, turner, jane c, turner, ec, turner, bl, turner, jane, turner, jc, turner, d, turner, jc, turner, jane c, turner, p, turner, s, turner, bl, turner, jn, turner, mj, turner, mj, turner, mj, turner, l, turner, s, turner, l, turner, jane, turner, jane, turner, n, turner, mj, turner, jane, turner, mj, turner, m, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, m, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, mj, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, samuel, turner, martin, turner, mj, turner, mj, turner, mj, turner, kim, turner, kim, turner, jane, turner, kim, turner, martin j, turner, martin j, turner, martin, turner, martin, turner, mj, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin j, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, joe, turner, martin, turner, martin, turner, n, turner, martin, turner, martin, turner, pe, turner, k, turner, mj, turner, mj, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin j, turner, j, turner, martin j, turner, martin, turner, mark d, turner, martin j, turner, martin, turner, kim, turner, martin, turner, martin, turner, martin, turner, martin, turner, jane, turner, md, turner, mark d, turner, mark d, turner, jd, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin j, turner, martin, turner, martin, turner, mark d, turner, mark, turner, mark, turner, mark, turner, mark, turner, mark, turner, mark, turner, joe, turner, mj, turner, martin j, turner, martin, turner, martin j, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin j, turner, martin, turner, mark, turner, mark d, turner, martin j, turner, martin, turner, mark, turner, martin, turner, martin, turner, mark, turner, martin, turner, jane, turner, martin, turner, mark, turner, martin, turner, martin, turner, martin, turner, sam, turner, martin, turner, martin, turner, md, turner, mark d, turner, martin, turner, sg, turner, martin j, turner, martin, turner, martin j, turner, martin, turner, mark, turner, martin, turner, martin, turner, martin, turner, k, turner, martin, turner, martin, turner, martin j, turner, sam, turner, martin, turner, mark, turner, kim, turner, im, turner, neil, turner, joe, turner, martin, turner, m, turner, martin, turner, martin, turner, a m, turner, mark d, turner, mark d, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin james, turner, martin, turner, martin, turner, kate, turner, kate, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, martin, turner, jane, turner, mj, turner, kate, turner, martin"
5,6,"Dorobat, Carmen Elena","625137, 628172, 628173, 634554, 638342, 640683",", dorobat, carmen elena, dorobat, carmen elena, dorobat, carmen elena, dorobat, carmen elena, dorobat, carmen elena"
6,58,"Sanderson, Andy","626098, 619914, 637798, 188814, 602093, 625979, 627347, 628281, 633880, 633887, 595366, 603470, 618713, 619091, 619095, 621943, 622905, 622906, 624718, 624719, 624720, 624721, 626099, 626100, 626101, 626102, 626103, 626198, 627107, 627350, 627664, 627665, 627666, 627669, 627670, 627729, 628011, 628502, 628504, 628505, 629138, 630562, 631276, 632726, 632727, 632832, 633119, 633550, 635147, 635224, 635359, 636461, 639092, 639544, 639773, 641537, 641716, 641920",", sandberg, ad, sandberg, h, sanders, r h, sanders, k, sanders, l, sanders, c, sanders, ruth, sanders, ch, sanders, h, sanderson, r, sanderson, p, sanderson, l, sanderson, re, sanderson, r, sanderson, l, sanderson, laura, sanderson, laura, sanderson, laura, sanderson, laura, sanderson, l, sanderson, laura, sanderson, andy, sanderson, a, sanderson, a, sanderson, a, sanderson, andy, sanderson, mark, sanderson, andy, sanderson, roy, sanderson, a, sanderson, andrew, sanderson, andrew, sanderson, andrew, sanderson, andrew, sanderson, a, sanderson, mark, sanderson, laura, sanderson, laura, sanderson, laura, sanderson, a, sanderson, laura, sanderson, andy, sanderson, a, sanderson, a, sanderson, a, sanderson, laura, sanderson, linda, sanderson, andy, sanderson, a, sanderson, andy, sanderson, linda, sanderson, andy, sanderson, andy, sanderson, a, sanderson, andy, sanderson, andy, sanderson, andy"
7,242,"Degens, Hans","627172, 359, 6274, 6361, 11804, 11810, 11813, 11815, 11825, 11828, 11857, 11914, 11944, 11945, 11955, 11973, 11975, 11976, 11977, 12010, 12212, 12926, 13148, 13296, 14417, 29892, 30149, 30577, 32552, 32560, 32563, 34052, 35314, 35372, 86717, 86734, 86774, 86813, 92369, 93169, 93171, 109482, 109561, 111520, 120523, 123299, 123330, 123348, 123349, 138829, 140824, 140853, 229692, 595466, 595469, 595516, 595517, 595518, 595917, 595925, 595929, 595936, 595937, 595947, 595950, 595958, 595962, 601119, 601120, 601126, 602191, 602215, 602216, 602217, 605448, 605748, 606253, 606262, 606274, 608230, 617036, 617041, 617204, 617562, 617570, 617991, 618022, 618303, 618730, 619551, 619563, 619871, 620096, 620097, 620098, 620099, 620427, 621017, 621062, 621077, 621081, 621155, 621156, 621385, 621399, 621406, 621450, 621692, 621855, 622365, 622366, 622479, 622550, 622620, 622732, 622880, 623098, 623099, 623441, 623584, 623637, 623694, 623714, 624317, 624533, 624660, 624661, 624909, 625187, 625188, 625189, 625357, 625358, 625359, 625821, 625842, 625866, 626001, 626056, 626146, 626244, 626250, 626376, 626831, 626864, 626922, 626924, 626925, 626930, 626990, 627109, 627110, 627111, 627112, 627471, 627472, 627473, 627545, 627702, 627720, 627732, 627734, 627811, 627834, 627848, 627849, 627878, 627900, 627901, 627904, 627967, 628035, 628209, 628210, 628338, 628372, 628397, 628434, 628642, 628643, 628644, 628645, 629431, 629432, 629433, 629943, 629944, 630291, 630449, 630503, 630504, 630626, 630859, 631371, 631522, 631527, 632386, 632468, 632476, 632477, 632492, 632570, 632962, 633094, 633711, 633771, 633772, 633825, 633826, 633919, 633992, 634199, 634549, 634618, 634764, 634845, 634851, 634940, 635212, 635213, 635214, 635482, 636086, 636168, 636484, 637190, 637236, 638632, 638663, 639092, 639287, 639502, 639699, 639809, 640166, 640266, 640738, 640970, 641093, 641536, 641537, 641552",", degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, h, degens, hans, degens, h, degens, h, degens, h, degens, h, degens, hans, degens, hans, degens, h, degens, hans, degens, h, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, h, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, h, degens, h, degens, hans, degens, h, degens, hans, degens, hans, degens, h, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, h, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, h, degens, h, degens, hans, degens, h, degens, hans, degens, h, degens, h, degens, hans, degens, h, degens, hans, degens, h, degens, h, degens, h, degens, h, degens, hans, degens, h, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, hans, degens, h"
8,53,"Daniels, Katherine","628112, 639457, 608775, 617463, 617464, 617466, 618786, 620632, 620930, 621047, 621631, 622504, 626341, 626342, 626343, 626344, 626345, 626410, 626437, 626438, 626439, 626440, 626441, 626442, 626443, 626453, 626802, 626891, 627065, 627066, 627067, 627098, 627376, 627765, 627915, 627959, 628108, 628234, 628430, 628727, 628945, 629583, 629584, 630144, 630372, 631029, 631276, 631864, 632558, 632559, 633633, 639139, 640228",", daniel, johny, daniels, john, daniels, je, daniels, je, daniels, je, daniels, tw, daniels, je, daniels, s, daniels, twv, daniels, s, daniels, john, daniels, katherine, daniels, katherine, daniels, katherine, daniels, katherine, daniels, katherine, daniels, john, daniels, kaj, daniels, katherine, daniels, k, daniels, k, daniels, kaj, daniels, kaj, daniels, kaj, daniels, katherine aj, daniels, katherine aj, daniels, katherine, daniels, katherine, daniels, katherine, daniels, katherine, daniels, katherine, daniels, katherine aj, daniels, katherine, daniels, john, daniels, katherine aj, daniels, katherine, daniels, katherine, daniels, katherine, daniels, katherine aj, daniels, katherine, daniels, katherine, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine aj, daniels, katherine, daniels, t w v"
9,128,"Nawaz, Raheel","629211, 607777, 607778, 618125, 620994, 620995, 620996, 621593, 621618, 621683, 621788, 621789, 623484, 623505, 623506, 623507, 623508, 623509, 623510, 623511, 623512, 623513, 623514, 623515, 623516, 623517, 623518, 623519, 623520, 623522, 623523, 623524, 623882, 623883, 624309, 624540, 624662, 624663, 624664, 624665, 624666, 624667, 625000, 625001, 625002, 625003, 625004, 625006, 625143, 625271, 625349, 625381, 625385, 625512, 625538, 625616, 625811, 625933, 626041, 626042, 626043, 626136, 626150, 626224, 626470, 626505, 626693, 626694, 626697, 626897, 626898, 627006, 627086, 627192, 627193, 627218, 627339, 627385, 627641, 627807, 627816, 628033, 628050, 628198, 628244, 628580, 628699, 628717, 628807, 628944, 628952, 628953, 629061, 629099, 629239, 629425, 629426, 629452, 629453, 629578, 629921, 630527, 630842, 630843, 630976, 631778, 632154, 632156, 632284, 632351, 632442, 632483, 632484, 632485, 632486, 632631, 632632, 633837, 634328, 634675, 635184, 635192, 636510, 636540, 637732, 638006, 640156, 640798",", nawaz, r, nawaz, r, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, r, nawaz, r, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, r, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel, nawaz, raheel"
10,10,"Kavaratzis, Mihalis","629461, 618698, 629460, 634659, 634660, 637193, 637790, 642503, 642504, 643057",", kavaratzis, m, kavaratzis, m, kavaratzis, milhalis, kavaratzis, mihalis, kavaratzis, mihalis, kavaratzis, mihalis, kavaratzis, mihalis, kavaratzis, mihalis, kavaratzis, mihalis"
