cluster_id,cluster_leader,canonical_name,name,frequency,score_to_leader,cluster_size,canonical_frequency,all_variants
1,Elsevier,Elsevier,Elsevier,2730,100.0,1,2730,Elsevier
2,Wiley,Wiley,Wiley,1901,100.0,1,1901,Wiley
3,IMED Research Publication,IMED Research Publication,IMED Research Publication,1,100.0,1,1,IMED Research Publication
4,MDPI,MDPI,MDPI,815,100.0,1,815,MDPI
5,AIP,AIP Publishing,AIP Publishing,15,100.0,2,15,"AIP, AIP Publishing"
5,AIP,AIP Publishing,AIP,2,100.0,2,15,"AIP, AIP Publishing"
6,Springer,Springer,Springer,1488,100.0,1,1488,Springer
7,University of Oxford,Oxford University Press,Oxford University Press,1026,100.0,2,1026,"Oxford University Press, University of Oxford"
7,University of Oxford,Oxford University Press,University of Oxford,1,100.0,2,1026,"Oxford University Press, University of Oxford"
8,Taylor & Francis,Taylor & Francis,Taylor & Francis,2081,100.0,2,2081,"Taylor & Francis, Taylor & Franics"
8,Taylor & Francis,Taylor & Francis,Taylor & Franics,1,92.85714285714286,2,2081,"Taylor & Francis, Taylor & Franics"
9,Hindawi,Hindawi Limited,Hindawi Publishing Corporation,16,100.0,5,22,"HINDAWI PUBLISHING CORPORATION, Hindawi, Hindawi Limited, Hindawi Publishing, Hindawi Publishing Corporation"
9,Hindawi,Hindawi Limited,Hindawi Limited,22,100.0,5,22,"HINDAWI PUBLISHING CORPORATION, Hindawi, Hindawi Limited, Hindawi Publishing, Hindawi Publishing Corporation"
9,Hindawi,Hindawi Limited,Hindawi,20,100.0,5,22,"HINDAWI PUBLISHING CORPORATION, Hindawi, Hindawi Limited, Hindawi Publishing, Hindawi Publishing Corporation"
9,Hindawi,Hindawi Limited,Hindawi Publishing,4,100.0,5,22,"HINDAWI PUBLISHING CORPORATION, Hindawi, Hindawi Limited, Hindawi Publishing, Hindawi Publishing Corporation"
9,Hindawi,Hindawi Limited,HINDAWI PUBLISHING CORPORATION,1,100.0,5,22,"HINDAWI PUBLISHING CORPORATION, Hindawi, Hindawi Limited, Hindawi Publishing, Hindawi Publishing Corporation"
10,International Statistical Institute/International Association for Statistical Education,International Statistical Institute/International Association for Statistical Education,International Association for Statistical Education (IASE) and International Statistical Institute (ISI),1,88.0,2,1,"International Association for Statistical Education (IASE) and International Statistical Institute (ISI), International Statistical Institute/International Association for Statistical Education"
10,International Statistical Institute/International Association for Statistical Education,International Statistical Institute/International Association for Statistical Education,International Statistical Institute/International Association for Statistical Education,1,100.0,2,1,"International Association for Statistical Education (IASE) and International Statistical Institute (ISI), International Statistical Institute/International Association for Statistical Education"
11,Hacettepe University Faculty of Science Turkey,Hacettepe University Faculty of Science Turkey,Hacettepe University Faculty of Science Turkey,1,100.0,1,1,Hacettepe University Faculty of Science Turkey
12,Tech Science Press,Tech Science Press,Tech Science Press,14,100.0,1,14,Tech Science Press
13,"Computers, Materials and Continua (Tech Science Press)","Computers, Materials and Continua (Tech Science Press)","Computers, Materials and Continua (Tech Science Press)",2,100.0,1,2,"Computers, Materials and Continua (Tech Science Press)"
14,American Physical Society,American Physical Society,American Physical Society (APS),2,80.0,2,7,"American Physical Society, American Physical Society (APS)"
14,American Physical Society,American Physical Society,American Physical Society,7,100.0,2,7,"American Physical Society, American Physical Society (APS)"
