cluster_id,cluster_threshold,cluster_leader,name,score_to_leader,all_variants,cluster_size
1,85,elsevier,elseiver,87.5,"elseiver, elsevier",2
1,85,elsevier,elsevier,100.0,"elseiver, elsevier",2
2,85,wiley,wiley,100.0,wiley,1
3,85,imed research publication,imed research publication,100.0,imed research publication,1
4,85,mdpi ag,mdpi ag,100.0,mdpi ag,1
5,85,op publishing,aip publishing,88.88888888888889,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,aip publishing llc,77.41935483870968,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,ase publishing,81.4814814814815,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,bmj publishing,81.4814814814815,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,cabi publishing,78.57142857142857,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,csiro publishing,82.75862068965517,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,david publishing,75.86206896551724,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,emw publishing,81.4814814814815,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,facet publishing,75.86206896551724,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,hindawi publishing,70.96774193548387,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,i p publishing,88.88888888888889,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,iaw publishing,81.4814814814815,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
5,85,op publishing,ice publishing,81.4814814814815,"aip publishing, aip publishing llc, ase publishing, bmj publishing, cabi publishing, csiro publishing, david publishing, emw publishing, facet publishing, hindawi publishing, i p publishing, iaw publishing, ice publishing, iop publishing, iwa publishing, kare publishing, maney publishing, nature publishing, nature publishing group, nature publishing group uk, nature publishing grouplondon, oae publishing, op publishing, rcn publishing, rcn publishing co, rcn publishing rcni, sage publishing, sg publishing, shima publishing",29
