original_name,matched_name,score
elsevier,elsevier sci,80.0
imed research publication,social research publications,83.01886792452831
aip publishing,op publishing,88.88888888888889
springer verlag,springer basel ag,81.25
oxford university press oup,oxford university press academic,81.35593220338984
elsevier bv,elsevier,84.21052631578947
springer science and business media llc,springer science business media,88.57142857142857
palgrave macmillan springer,palgrave macmillan,80.0
taylor and francis,taylor francis,87.5
taylor and francis routledge,taylor and francis group,84.61538461538461
springer,springer u k,80.0
tech science press,science press,83.87096774193549
american physical society aps,american chemical society,81.4814814814815
institute of electrical and electronics engineers,institute of electrical and electronics engineers ieee,95.14563106796116
springer nature,bmc springer nature,88.23529411764706
european survey research association,european educational research association,80.51948051948052
springeropen,springer wien,80.0
royal society of chemistry rsc,royal society of chemistrylondon,83.87096774193549
royal society of chemistry,royal society of chemistrylondon,89.65517241379311
iop publishing,csiro publishing,86.66666666666667
american meteorological society,american physiological society,81.9672131147541
copernicus publications,copernicus publishing,81.81818181818181
iop science,iopscience,95.23809523809523
institute of physics iop,institute of physics publishing,80.0
american chemical society acs,american physical society,81.4814814814815
optical society of america,ecological society of america,87.27272727272728
institute of electrical and electronics engineers ieee,institute of electrical and electronics engineers,95.14563106796116
world scientific publishing,ahro scientific publishing,86.79245283018868
the royal society of chemistry,royal society of chemistrylondon,83.87096774193549
american chemical society,american physical society aps,81.4814814814815
de gruyter,de gruyter open,80.0
international union of crystallography,international union of crystallography iucr,93.82716049382715
sage publications,bahri publications,80.0
electrochemical society,the electrochemical society,92.0
geological society,physiological society,82.05128205128204
geological society of america,optical society of america,87.27272727272728
nature research,inter research,82.75862068965517
borntraeger science publishers,betham science publishers,80.0
university of arizona,university of warsaw,82.92682926829268
cambridge university press cup,cambridge university press,92.85714285714286
international mire conservation group and international peat society,international mire conservation group international peat society,96.96969696969697
european geosciences union,european geoscience union,98.0392156862745
cambridge university press,bristol university press,80.0
wiley for quaternary research association,quaternary research association,86.11111111111111
american society of civil engineers,american society of mechanical engineers asme,82.5
copernicus publications european geosciences union,copernicus publications on behalf of the european geosciences union,85.47008547008546
frontiers media sa,frontiers media,90.9090909090909
elsevier on behalf of international geosynthetics society igs,elsevier for international geosynthetics society igs,90.2654867256637
elsevier for international geosynthetics society igs,elsevier on behalf of international geosynthetics society igs,90.2654867256637
university of surrey,university of szeged,80.0
